Variable,N,Mean,SD,Median,Min,Max,Skewness
Award Amount ($),15477,1568585.6898177941,17564176.518333334,124158.56,-66703295.26,1422640474.28,54.920383099785326
Log Award Amount,15477,14.83849471813932,1.6910696586453828,14.621023460330662,12.429216196844385,24.50302124479187,0.7499559829743495
Cost Growth (%),8541,7.085593857258063,9.09103253073479,2.426098823637558,-0.2496158782997726,24.570032865266025,1.1367587718393763
Modification Count,15477,1.4476965820249403,0.9891146490866529,1.0,1.0,20.0,4.309864415495244
Number of Offers,10315,4.873000484730975,22.655807100364267,2.0,0.0,999.0,33.86273838640508
Single-Bid Rate,15477,0.23880597014925373,0.4263677104912133,0.0,0.0,1.0,1.225363836543202
