Specification,N,Tradeoff Coefficient,p-value
full_sample,8483,0.2722386145968118,0.5303541613983478
agency_large_agency,2132,0.3365756746325218,0.449228608897177
agency_small_agency,32,-2.0336600669869114,0.43699328584089814
raw_cost_growth,2164,-21200435.918513015,0.2067090583635972
no_outliers,2164,0.3134443184488438,0.4767755029068115
naics_54,1516,0.08970660984915724,0.8640194978772153
naics_56,524,1.1016065710503247,0.23896286828567714
naics_51,124,0.39801265694072646,0.8025030503176711
